,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,
repeat,1,"繰り返す
くりかえす",kurikaesu,,,,,,,,

"request, order, ask favour",1,"頼む
たのむ",tanomu,,,,,,,,

"request, seek, buy, ask",2,"求める
もとめる",motomeru,,,,,,,,

"rescue, save",1,"救う
すくう",sukuu,,,,,,,,

"resemble, be similar to",2,"似る
にる",niru,,,,,,,,

"rest, sleep",1,"休む
やすむ",yasumu,,,,,,,,

"restrain, control",2,"抑える
おさえる",osaeru,,,,,,,,

return,1,"帰る
かえる",kaeru,,,,,,,,

"return, go back",1,"戻る
もどる",modoru,,,,,,,,

"return, put back, vomit",1,"戻す
もどす",modosu,,,,,,,,

ridicule,1,,azakeru,,,,,,,,

"ripen, bear fruit",1,"実る
みのる",minoru,,,,,,,,

run,1,"走る
はしる",hashiru,,,,,,,,

"run away, escape",2,"逃げる
にげる",nigeru,,,,,,,,

"run, canter, gallop",1,かける,kakeru,,,,,,,,

"save money, put aside, store",2,"蓄える
たくわえる",takuwaeru,,,,,,,,

"save, store, accumulate",2,ためる,tameru,,,,,,,,

say,1,"言う
いう",iu,,,,,,,,

"scold, tell off",1,"叱る
しかる",shikaru,,,,,,,,

search for,1,"探す
さがす",sagasu,,,,,,,,

sell,1,"売る
うる",uru,,,,,,,,

"send, see off",1,"送る
おくる",okuru,,,,,,,,

"sense, realize, notice",1,"気付く
きづく",kizuku,,,,,,,,

"separate from, leave",2,"離れる
はなれる",hanareru,,,,,,,,

shine,1,,teru,,,,,,,,

"shine, glitter",1,"光る
ひかる",hikaru,,,,,,,,

"shine, sparkle",1,"輝く
かがやく",kagayaku,,,,,,,,

show,2,"見せる
みせる",miseru,,,,,,,,

shut,2,"閉める
しめる",shimeru,,,,,,,,

sing,1,"歌う
うたう",utau,,,,,,,,

sit,1,"座る
すわる",suwaru,,,,,,,,

sit in (western style),2,"腰掛ける
こしかける",koshikakeru,,,,,,,,

slander,1,,soshiru,,,,,,,,

"sleep, go to bed",2,"寝る
ねる",neru,,,,,,,,

slip,1,"滑る
すべる",suberu,,,,,,,,

smash,1,"壊す
こわす",kowasu,,,,,,,,

smear on,1,"塗る
ぬる",nuru,,,,,,,,

"solve, untie",1,,toku,,,,,,,,

speak,1,"話す
はなす",hanasu,,,,,,,,

spill,1,こぼす,kobosu,,,,,,,,

"spill, overflow",2,こぼれる,koboreru,,,,,,,,

spread a rumour/story,1,"言いふらす
いいふらす",iifurasu,,,,,,,,

"spread out, lay",1,"敷く
しく",shiku,,,,,,,,

"spread, become popular",1,"広まる
ひろまる",hiromaru,,,,,,,,

"spread, make popular",2,"広める
ひろめる",hiromeru,,,,,,,,

"stand firm, try your best",1,"頑張る
がんばる",ganbaru,,,,,,,,

"stand guard, keep lookout",1,"見張る
みはる",miharu,,,,,,,,

stand prepared,2,"構える
かまえる",kamaeru,,,,,,,,

stand up,1,立つ,tatsu,,,,,,,,

stay overnight,1,"泊まる
とまる",tomaru,,,,,,,,

steal,1,"盗む
ぬすむ",nusumu,,,,,,,,

step on,1,"踏む
ふむ",fumu,,,,,,,,

"stick, put something on",1,"張る
はる",haru,,,,,,,,

stop,1,"止まる
とまる",tomaru,,,,,,,,

stop talking,1,"黙る
だまる",damaru,,,,,,,,

"stop, fasten",2,"止める
とめる",tomeru,,,,,,,,

"stop, give up, resign",2,"止める
やめる",yameru,,,,,,,,

strengthen,2,"強める
つよめる",tsuyomeru,,,,,,,,

"strengthen, harden",2,"固める
かためる",katameru,,,,,,,,

"strive, make every effort",1,"励む
はげむ",hagemu,,,,,,,,

suffer,1,"苦しむ
くるしむ",kurushimu,,,,,,,,

"suggest, start talking",1,"言い出す
いいだす",iidasu,,,,,,,,

"suit, conform to",1,"適う
かなう",kanau,,,,,,,,

support,2,"支える
ささえる",sasaeru,,,,,,,,

"surround, enclose",1,"囲む
かこむ",kakomu,,,,,,,,

swim,1,"泳ぐ
およぐ",oyogu,,,,,,,,

take charge of,2,"引き受ける
ひきうける",hikiukeru,,,,,,,,

"take off, remove (shoes, clothes)",1,"脱ぐ
ぬぐ",nugu,,,,,,,,

"take part in, affect",1,"関わる
かかわる",kakawaru,,,,,,,,

